;F_1;F_2;F_3;F_4
r_HhWUcvwe;0.168727426;-0.009076896;0.182578004;0.524428103
r_HhWCvwel;0.005675142;0.146814941;0.254537892;0.476191549
poptTG1121;0.339706507;0.559042973;0.041715644;0.388891578
EdLvlBaT;0.626018982;-0.267281843;-0.478763656;0.372110375
r_HhFuRein;-0.366639405;0.569681505;0.254168407;0.363362886
WorkHh10yT;0.670720522;-0.391353663;-0.2272105;0.362785395
r_HhWTbewe;-0.309813918;0.335795986;0.059469545;0.362527064
ChildWork;-0.328975779;-0.061917389;-0.103335201;0.357245392
r_HhTWitho;0.478725048;-0.315869535;-0.244646126;0.351595872
r_HhAmNa;0.368964277;-0.427635637;-0.243526659;0.349183416
DepChild;0.72562642;0.259890518;-0.322502788;0.324472091
ChldMarM;0.461106964;-0.081234114;-0.334094936;0.29737651
ChildHWork;0.324981789;-0.231484481;-0.146296838;0.288130556
r_HhWbottl;-0.706232716;0.340190906;0.062228036;0.285924471
poptAAGR;0.499989401;0.651767466;0.101137256;0.285129638
r_popMom;0.173925767;0.682443026;-0.100051788;0.283181222
ChldMarF;0.609221679;-0.036022718;-0.5014881;0.252153664
sex_rEv;0.553439103;-0.261722295;-0.017425361;0.243553992
Middle;0.620615216;-0.522495591;-0.386918191;0.238914411
HhAdequate;0.375573939;-0.675208339;-0.145536122;0.218787862
EmpAgriYes;0.885241316;-0.189697039;-0.088036372;0.199247524
Window;0.155383963;-0.772017048;0.105178221;0.184931177
AbsOutPM;-0.06151075;0.670092903;0.245940003;0.129280638
HhHeadF;-0.303395312;0.619331638;-0.144195149;0.122294322
Work10yF;-0.793179915;0.013426249;0.157213213;0.117506935
r_popRdW_1;0.692535673;-0.406492419;-0.43100664;0.100530118
r_HhTFlush;-0.884584285;0.16051807;0.032728131;0.097037788
r_HhAmMoto;-0.071392171;-0.089112609;0.804758449;0.091343391
HhModerate;0.822763436;-0.417504588;-0.141433042;0.086556095
MigrantInt;-0.175054656;0.923841034;0.201124184;0.083428184
r_HhWSpout;0.545194904;0.033132061;-0.011105574;0.056117653
Richer;-0.207846043;0.335131634;-0.540584147;0.054816161
EdLvlSeT;-0.551128018;0.503769479;0.182074645;0.046242608
r_HhAmRadi;-0.07596111;-0.164696439;0.359410305;0.044510167
r_HhFuWood;0.813770237;-0.028536535;0.009630817;0.03222349
popDsty21;-0.879753154;0.205179575;-0.003063299;0.030386319
FamilyExtd;0.240278267;-0.794629107;0.218057337;0.023340534
HhLstAdequate;0.22607967;-0.158168031;-0.11075977;0.019401417
r_HhAmRefr;-0.356810591;-0.006558983;0.827041808;0.009115129
Poorer;0.747013363;-0.486287522;-0.223051933;0.002345052
HhInadequate;0.888008046;-0.152188138;-0.096722178;-0.001636467
r_HhTFlu_1;0.836927923;0.051588967;0.119609361;-0.002224214
Work10yM;-0.779173913;-0.04896066;0.152697261;-0.005225599
Poorest;0.796573643;-0.41476501;-0.201215522;-0.023297036
r_HhAmCar;-0.348467693;0.261509319;0.710858825;-0.025461448
popSqt;-0.211929135;0.002392131;0.158092928;-0.034220216
AbsOutPF;-0.417422391;0.409480935;0.444785491;-0.040051709
r_popNever;-0.033348185;-0.081177433;-0.389557951;-0.043981195
r_HhAmAirC;-0.505869189;0.177946523;0.563619659;-0.045930408
AbsInPTT;-0.25605432;0.548081088;-0.089265571;-0.046135178
r_HhAmInte;-0.528628383;0.42254243;0.559671155;-0.061237375
r_HhFuMud;0.388366671;-0.815648598;-0.208558399;-0.061968765
r_HhTPubli;0.15321092;0.100154157;-0.145820169;-0.069068602
r_HhWTapFa;0.764221014;-0.193330941;-0.07505642;-0.081065834
DepElderly;-0.036011533;-0.815833994;0.363139232;-0.082971986
pop5minPT;-0.740124666;0.020383601;0.062306886;-0.102202468
Richest;-0.53962813;0.291619769;0.753974259;-0.111742048
r_HhAmMobi;0.571365806;-0.090082995;-0.042545872;-0.13060271
HhMAdequate;-0.642226298;0.620122159;0.215721943;-0.140508979
DisabilRte;0.303388268;-0.060469838;-0.170390118;-0.14298625
r_popEmplo;-0.553455785;0.068807899;0.158979286;-0.155421031
MigrantFor;-0.765275643;0.090135383;0.162563767;-0.1584508
r_HhTPit;0.543114194;-0.16458024;-0.301274083;-0.158866933
r_HhORente;-0.741171237;0.594289784;-0.108300727;-0.168917084
r_HhAmTV;0.07589813;-0.324313639;0.513688493;-0.173043891
Work3mM;0.36734319;0.321455812;0.045253954;-0.207627665
ahSize1121;-0.344291303;0.201525563;0.132373608;-0.225795153
r_popOther;-0.325479963;0.631948364;-0.127945978;-0.260160472
EdLvlHiT;-0.655547915;0.250110391;0.527949025;-0.282321207
Work3mF;0.037377062;0.307938157;0.098340512;-0.292825456
r_popCurrA;-0.15936065;0.258103309;0.624772205;-0.334080687
r_HhWTapCl;0.055969989;-0.135818947;0.071550663;-0.385650258
WorkNo10yM;0.023774741;0.717049755;0.228322209;-0.44438206
ChildNWork;0.014636217;0.220666967;0.178729981;-0.466643571
WorkNo10yF;-0.229070955;0.579278957;0.196604164;-0.491169197
r_HhFuCem;-0.088240234;-0.062655926;0.010089965;-0.491699022
